Provinsi,Malaria,DBD,Filariasis,Rabies,Persentase Rumah Tangga Memiliki Akses terhadap Sanitasi Layak (Persen),Kepadatan Penduduk per km persegi (Km2),Jumlah Desa yang Memiliki Rumah Sakit ,Presentase Penduduk Miskin ,Jumlah Penduduk (Ribu)
Aceh,372,3450,411,1493,81.1,98,66,12.64,5554.8
Sumatera Utara,6596,9366,46,11377,85.73,215,176,7.19,15588.5
Sumatera Barat,54,2823,83,7335,72.82,139,64,5.42,5836.2
Riau,2716,3206,108,5548,86.32,75,66,6.36,6728.1
Jambi,49,2321,199,1641,83.97,76,39,7.26,3724.3
Sumatera Selatan,99,6263,109,4674,82.36,102,73,10.51,8837.3
Bengkulu,3,3103,60,2122,83.01,105,24,12.52,2112.2
Lampung,2596,9068,23,3152,85.44,281,61,10.62,9419.6
Kepulauan Bangka Belitung,13,1914,79,286,94.16,92,23,5.08,1531.5
Kepulauan Riau,306,1685,75,116,91.23,264,26,4.78,2183.3
DKI Jakarta,358,13276,19,4894,94.01,16165,121,4.14,10684.9
Jawa Barat,512,61423,253,3055,75.1,1359,346,7.08,50345.2
Jawa Tengah,747,17636,290,1236,86.72,1104,317,9.58,37892.3
Daerah Istimewa Yogyakarta,121,4027,2,204,96.71,1186,66,10.4,3759.5
Jawa Timur,553,32086,147,721,85.56,870,341,9.56,41814.5
Banten,130,13727,59,790,87.93,1329,106,5.7,12431.4
Bali,75,1557,4,57943,96.83,793,59,3.8,4433.3
Nusa Tenggara Barat,250,4218,6,4156,86.8,287,42,11.91,5646
Nusa Tenggara Timur,8894,3987,955,30267,77.66,122,65,19.02,5656
Kalimantan Barat,62,2529,143,8261,81.56,39,45,6.25,5695.5
Kalimantan Tengah,137,4015,47,1938,78.15,18,27,5.26,2809.7
Kalimantan Selatan,302,3232,17,898,83.7,115,42,4.02,4273.4
Kalimantan Timur,1606,10902,63,3412,91.65,32,46,5.51,4045.9
Kalimantan Utara,137,644,0,505,85.17,11,15,5.38,739.8
Sulawesi Utara,1245,4826,15,7713,87.31,186,54,6.7,2701.8
Sulawesi Tengah,1141,2473,100,4393,77.4,51,36,11.04,3121.8
Sulawesi Selatan,1905,6043,36,10630,93.83,209,101,7.77,9463.4
Sulawesi Tenggara,525,4867,42,1077,90.62,77,33,10.63,2793.1
Gorontalo,1581,2319,4,1075,82.99,102,19,13.87,1227.8
Sulawesi Barat,315,2491,64,1505,82.52,91,12,10.71,1503.2
Maluku,2288,398,34,2313,80.51,42,31,15.78,1945.6
Maluku Utara,205,1089,26,629,82.32,41,23,6.03,1355.6
Papua,229786,481,1023,0,79,10,11,21.09,578.7
Papua Barat,7823,325,60,0,77.84,16,12,16.95,627.1
Papua Selatan,56991,0,224,0,80.57,13,17,18.09,1060.6
Papua Tengah,168278,976,368,0,60.85,5,9,19.35,542.1
Papua Pegunungan,37975,249,117,0,41.44,24,14,27.6,1472.9
Papua Barat Daya,7219,263,290,0,12.61,29,9,29.66,1467